ENVO:00000004	administrative region	GCMD:1ae304de-252c-45da-8dd8-df99a281e4f4	ADMINISTRATIVE DIVISIONS	administrative divis		info(related-label,rdf(ENVO:00000004-administrative region,oio:hasRelatedSynonym-has_related_synonym,administrative division-administrative division^^xsd:string)-rdf(GCMD:1ae304de-252c-45da-8dd8-df99a281e4f4-ADMINISTRATIVE DIVISIONS,skos:prefLabel,(ADMINISTRATIVE DIVISIONS-ADMINISTRATIVE DIVISIONS)@en),stem)	
ENVO:00000044	peatland	GCMD:b70ef20c-7215-4a39-9479-dbff7c2fdca9	PEATLANDS	peatland		info(related-label,rdf(ENVO:00000044-peatland,oio:hasRelatedSynonym-has_related_synonym,Peatland-Peatland^^xsd:string)-rdf(GCMD:b70ef20c-7215-4a39-9479-dbff7c2fdca9-PEATLANDS,skos:prefLabel,(PEATLANDS-PEATLANDS)@en),stem)	
ENVO:00000044	peatland	GCMD:b72c49a1-8276-4753-8c88-894bc7bbf60d	WETLANDS	wetland		info(broad-label,rdf(ENVO:00000044-peatland,oio:hasBroadSynonym-has_broad_synonym,wetland-wetland^^xsd:string)-rdf(GCMD:b72c49a1-8276-4753-8c88-894bc7bbf60d-WETLANDS,skos:prefLabel,(WETLANDS-WETLANDS)@en),stem)	
ENVO:00000044	peatland	GCMD:d138302a-03b3-4cf7-95db-ac98f863c04f	WETLANDS	wetland		info(broad-label,rdf(ENVO:00000044-peatland,oio:hasBroadSynonym-has_broad_synonym,wetland-wetland^^xsd:string)-rdf(GCMD:d138302a-03b3-4cf7-95db-ac98f863c04f-WETLANDS,skos:prefLabel,(WETLANDS-WETLANDS)@en),stem)	
ENVO:00000044	peatland	GCMD:f3b5489d-6723-40bf-bd55-68a0f2fc1874	PEATLANDS	peatland		info(label-label,rdf(ENVO:00000044-peatland,rdfs:label,peatland-peatland^^xsd:string)-rdf(GCMD:f3b5489d-6723-40bf-bd55-68a0f2fc1874-PEATLANDS,skos:prefLabel,(PEATLANDS-PEATLANDS)@en),stem)	
ENVO:00000044	peatland	GCMD:f3b5489d-6723-40bf-bd55-68a0f2fc1874	PEATLANDS	peatland		info(related-label,rdf(ENVO:00000044-peatland,oio:hasRelatedSynonym-has_related_synonym,Peatland-Peatland^^xsd:string)-rdf(GCMD:f3b5489d-6723-40bf-bd55-68a0f2fc1874-PEATLANDS,skos:prefLabel,(PEATLANDS-PEATLANDS)@en),stem)	
ENVO:00000045	estuary	GCMD:5a1ebca4-057d-43b9-af6a-04f57b93f8bb	ESTUARY	estuari		info(exact-label,rdf(ENVO:00000045-estuary,oio:hasExactSynonym-has_exact_synonym,Estuary-Estuary^^xsd:string)-rdf(GCMD:5a1ebca4-057d-43b9-af6a-04f57b93f8bb-ESTUARY,skos:prefLabel,(ESTUARY-ESTUARY)@en),stem)	
ENVO:00000045	estuary	GCMD:5a1ebca4-057d-43b9-af6a-04f57b93f8bb	ESTUARY	estuari		info(exact-label,rdf(ENVO:00000045-estuary,oio:hasExactSynonym-has_exact_synonym,estuary-estuary^^xsd:string)-rdf(GCMD:5a1ebca4-057d-43b9-af6a-04f57b93f8bb-ESTUARY,skos:prefLabel,(ESTUARY-ESTUARY)@en),stem)	
ENVO:00000045	estuary	GCMD:5a1ebca4-057d-43b9-af6a-04f57b93f8bb	ESTUARY	estuari		info(label-label,rdf(ENVO:00000045-estuary,rdfs:label,estuary-estuary^^xsd:string)-rdf(GCMD:5a1ebca4-057d-43b9-af6a-04f57b93f8bb-ESTUARY,skos:prefLabel,(ESTUARY-ESTUARY)@en),stem)	
ENVO:00000045	estuary	GCMD:5a1ebca4-057d-43b9-af6a-04f57b93f8bb	ESTUARY	estuary		info(exact-label,rdf(ENVO:00000045-estuary,oio:hasExactSynonym-has_exact_synonym,Estuary-Estuary^^xsd:string)-rdf(GCMD:5a1ebca4-057d-43b9-af6a-04f57b93f8bb-ESTUARY,skos:prefLabel,(ESTUARY-ESTUARY)@en),downcase)	
ENVO:00000045	estuary	GCMD:5a1ebca4-057d-43b9-af6a-04f57b93f8bb	ESTUARY	estuary		info(exact-label,rdf(ENVO:00000045-estuary,oio:hasExactSynonym-has_exact_synonym,estuary-estuary^^xsd:string)-rdf(GCMD:5a1ebca4-057d-43b9-af6a-04f57b93f8bb-ESTUARY,skos:prefLabel,(ESTUARY-ESTUARY)@en),downcase)	
