SWEET:humanDecision/ConsumerBehavior	consumer behavior	GCMD:d11d5e6d-fafb-4012-818c-8bfb984128f1	CONSUMER BEHAVIOR	consumer behavior		info(label-label,rdf(SWEET:humanDecision/ConsumerBehavior-consumer behavior,rdfs:label,(consumer behavior-consumer behavior)@en)-rdf(GCMD:d11d5e6d-fafb-4012-818c-8bfb984128f1-CONSUMER BEHAVIOR,skos:prefLabel,(CONSUMER BEHAVIOR-CONSUMER BEHAVIOR)@en),downcase)	
SWEET:humanDecision/ConsumerBehavior	consumer behavior	GCMD:d11d5e6d-fafb-4012-818c-8bfb984128f1	CONSUMER BEHAVIOR	consumer behavior		info(label-label,rdf(SWEET:humanDecision/ConsumerBehavior-consumer behavior,rdfs:label,(consumer behavior-consumer behavior)@en)-rdf(GCMD:d11d5e6d-fafb-4012-818c-8bfb984128f1-CONSUMER BEHAVIOR,skos:prefLabel,(CONSUMER BEHAVIOR-CONSUMER BEHAVIOR)@en),stem)	
SWEET:humanEnvirAssessment/EnvironmentalAssessment	environmental assessment	GCMD:079724fa-ff86-4195-aee0-51a4d6dd73bb	ENVIRONMENTAL ASSESSMENTS	environmental assess		info(label-label,rdf(SWEET:humanEnvirAssessment/EnvironmentalAssessment-environmental assessment,rdfs:label,(environmental assessment-environmental assessment)@en)-rdf(GCMD:079724fa-ff86-4195-aee0-51a4d6dd73bb-ENVIRONMENTAL ASSESSMENTS,skos:prefLabel,(ENVIRONMENTAL ASSESSMENTS-ENVIRONMENTAL ASSESSMENTS)@en),stem)	
SWEET:humanEnvirConservation/Conservation	conservation	GCMD:40869a25-edea-4438-80f9-47c9e6910b9b	CONSERVATION	conserv		info(label-label,rdf(SWEET:humanEnvirConservation/Conservation-conservation,rdfs:label,(conservation-conservation)@en)-rdf(GCMD:40869a25-edea-4438-80f9-47c9e6910b9b-CONSERVATION,skos:prefLabel,(CONSERVATION-CONSERVATION)@en),stem)	
SWEET:humanEnvirConservation/Conservation	conservation	GCMD:40869a25-edea-4438-80f9-47c9e6910b9b	CONSERVATION	conservation		info(label-label,rdf(SWEET:humanEnvirConservation/Conservation-conservation,rdfs:label,(conservation-conservation)@en)-rdf(GCMD:40869a25-edea-4438-80f9-47c9e6910b9b-CONSERVATION,skos:prefLabel,(CONSERVATION-CONSERVATION)@en),downcase)	
SWEET:humanEnvirConservation/Conservation	conservation	GCMD:aef9855c-70e1-4e22-aa25-8ccd23176d3b	CONSERVATION	conserv		info(label-label,rdf(SWEET:humanEnvirConservation/Conservation-conservation,rdfs:label,(conservation-conservation)@en)-rdf(GCMD:aef9855c-70e1-4e22-aa25-8ccd23176d3b-CONSERVATION,skos:prefLabel,(CONSERVATION-CONSERVATION)@en),stem)	
SWEET:humanEnvirConservation/Conservation	conservation	GCMD:aef9855c-70e1-4e22-aa25-8ccd23176d3b	CONSERVATION	conservation		info(label-label,rdf(SWEET:humanEnvirConservation/Conservation-conservation,rdfs:label,(conservation-conservation)@en)-rdf(GCMD:aef9855c-70e1-4e22-aa25-8ccd23176d3b-CONSERVATION,skos:prefLabel,(CONSERVATION-CONSERVATION)@en),downcase)	
SWEET:humanEnvirConservation/LandManagement	land management	GCMD:2be0af28-a6b8-4fce-82e4-1ad86788a4d5	LAND MANAGEMENT	land manag		info(label-label,rdf(SWEET:humanEnvirConservation/LandManagement-land management,rdfs:label,(land management-land management)@en)-rdf(GCMD:2be0af28-a6b8-4fce-82e4-1ad86788a4d5-LAND MANAGEMENT,skos:prefLabel,(LAND MANAGEMENT-LAND MANAGEMENT)@en),stem)	
SWEET:humanEnvirConservation/LandManagement	land management	GCMD:2be0af28-a6b8-4fce-82e4-1ad86788a4d5	LAND MANAGEMENT	land management		info(label-label,rdf(SWEET:humanEnvirConservation/LandManagement-land management,rdfs:label,(land management-land management)@en)-rdf(GCMD:2be0af28-a6b8-4fce-82e4-1ad86788a4d5-LAND MANAGEMENT,skos:prefLabel,(LAND MANAGEMENT-LAND MANAGEMENT)@en),downcase)	
SWEET:humanEnvirConservation/LandTenure	land tenure	GCMD:0ceb5ef1-5a07-4f93-8e86-d3cc2baf5768	LAND TENURE	land tenur		info(label-label,rdf(SWEET:humanEnvirConservation/LandTenure-land tenure,rdfs:label,(land tenure-land tenure)@en)-rdf(GCMD:0ceb5ef1-5a07-4f93-8e86-d3cc2baf5768-LAND TENURE,skos:prefLabel,(LAND TENURE-LAND TENURE)@en),stem)	
SWEET:humanEnvirConservation/LandTenure	land tenure	GCMD:0ceb5ef1-5a07-4f93-8e86-d3cc2baf5768	LAND TENURE	land tenure		info(label-label,rdf(SWEET:humanEnvirConservation/LandTenure-land tenure,rdfs:label,(land tenure-land tenure)@en)-rdf(GCMD:0ceb5ef1-5a07-4f93-8e86-d3cc2baf5768-LAND TENURE,skos:prefLabel,(LAND TENURE-LAND TENURE)@en),downcase)	
SWEET:humanEnvirConservation/Sustainability	sustainability	GCMD:03d38261-1c90-491b-bc4e-cc4e703e1dff	SUSTAINABILITY	sustain		info(label-label,rdf(SWEET:humanEnvirConservation/Sustainability-sustainability,rdfs:label,(sustainability-sustainability)@en)-rdf(GCMD:03d38261-1c90-491b-bc4e-cc4e703e1dff-SUSTAINABILITY,skos:prefLabel,(SUSTAINABILITY-SUSTAINABILITY)@en),stem)	
SWEET:humanEnvirConservation/Sustainability	sustainability	GCMD:03d38261-1c90-491b-bc4e-cc4e703e1dff	SUSTAINABILITY	sustainability		info(label-label,rdf(SWEET:humanEnvirConservation/Sustainability-sustainability,rdfs:label,(sustainability-sustainability)@en)-rdf(GCMD:03d38261-1c90-491b-bc4e-cc4e703e1dff-SUSTAINABILITY,skos:prefLabel,(SUSTAINABILITY-SUSTAINABILITY)@en),downcase)	
SWEET:humanEnvirConservation/Sustainable	sustainable	GCMD:03d38261-1c90-491b-bc4e-cc4e703e1dff	SUSTAINABILITY	sustain		info(label-label,rdf(SWEET:humanEnvirConservation/Sustainable-sustainable,rdfs:label,(sustainable-sustainable)@en)-rdf(GCMD:03d38261-1c90-491b-bc4e-cc4e703e1dff-SUSTAINABILITY,skos:prefLabel,(SUSTAINABILITY-SUSTAINABILITY)@en),stem)	
SWEET:humanEnvirControl/Reforestation	reforestation	GCMD:be7f6de0-f51e-42bc-9a66-fff30d809a67	REFORESTATION	reforest		info(label-label,rdf(SWEET:humanEnvirControl/Reforestation-reforestation,rdfs:label,(reforestation-reforestation)@en)-rdf(GCMD:be7f6de0-f51e-42bc-9a66-fff30d809a67-REFORESTATION,skos:prefLabel,(REFORESTATION-REFORESTATION)@en),stem)	
SWEET:humanEnvirControl/Reforestation	reforestation	GCMD:be7f6de0-f51e-42bc-9a66-fff30d809a67	REFORESTATION	reforestation		info(label-label,rdf(SWEET:humanEnvirControl/Reforestation-reforestation,rdfs:label,(reforestation-reforestation)@en)-rdf(GCMD:be7f6de0-f51e-42bc-9a66-fff30d809a67-REFORESTATION,skos:prefLabel,(REFORESTATION-REFORESTATION)@en),downcase)	
SWEET:humanEnvirControl/Reforestation	reforestation	GCMD:dcb100c9-5b43-422a-a429-25cae9dbb170	REFORESTATION	reforest		info(label-label,rdf(SWEET:humanEnvirControl/Reforestation-reforestation,rdfs:label,(reforestation-reforestation)@en)-rdf(GCMD:dcb100c9-5b43-422a-a429-25cae9dbb170-REFORESTATION,skos:prefLabel,(REFORESTATION-REFORESTATION)@en),stem)	
SWEET:humanEnvirControl/Reforestation	reforestation	GCMD:dcb100c9-5b43-422a-a429-25cae9dbb170	REFORESTATION	reforestation		info(label-label,rdf(SWEET:humanEnvirControl/Reforestation-reforestation,rdfs:label,(reforestation-reforestation)@en)-rdf(GCMD:dcb100c9-5b43-422a-a429-25cae9dbb170-REFORESTATION,skos:prefLabel,(REFORESTATION-REFORESTATION)@en),downcase)	
SWEET:humanEnvirControl/Reforestation	reforestation	GCMD:fe6b37b9-f95a-491e-a58e-22aa66be9a9d	REFORESTATION	reforest		info(label-label,rdf(SWEET:humanEnvirControl/Reforestation-reforestation,rdfs:label,(reforestation-reforestation)@en)-rdf(GCMD:fe6b37b9-f95a-491e-a58e-22aa66be9a9d-REFORESTATION,skos:prefLabel,(REFORESTATION-REFORESTATION)@en),stem)	
SWEET:humanEnvirControl/Reforestation	reforestation	GCMD:fe6b37b9-f95a-491e-a58e-22aa66be9a9d	REFORESTATION	reforestation		info(label-label,rdf(SWEET:humanEnvirControl/Reforestation-reforestation,rdfs:label,(reforestation-reforestation)@en)-rdf(GCMD:fe6b37b9-f95a-491e-a58e-22aa66be9a9d-REFORESTATION,skos:prefLabel,(REFORESTATION-REFORESTATION)@en),downcase)	
SWEET:humanEnvirControl/WaterManagement	water management	GCMD:14555831-70ae-4650-8983-956d65595575	WATER MANAGEMENT	water manag		info(label-label,rdf(SWEET:humanEnvirControl/WaterManagement-water management,rdfs:label,(water management-water management)@en)-rdf(GCMD:14555831-70ae-4650-8983-956d65595575-WATER MANAGEMENT,skos:prefLabel,(WATER MANAGEMENT-WATER MANAGEMENT)@en),stem)	
SWEET:humanEnvirControl/WaterManagement	water management	GCMD:14555831-70ae-4650-8983-956d65595575	WATER MANAGEMENT	water management		info(label-label,rdf(SWEET:humanEnvirControl/WaterManagement-water management,rdfs:label,(water management-water management)@en)-rdf(GCMD:14555831-70ae-4650-8983-956d65595575-WATER MANAGEMENT,skos:prefLabel,(WATER MANAGEMENT-WATER MANAGEMENT)@en),downcase)	
SWEET:humanJurisdiction/UrbanArea	urban area	GCMD:e4abd82b-b17a-4f16-be79-0093f2a09f7d	URBAN AREAS	urban area		info(label-label,rdf(SWEET:humanJurisdiction/UrbanArea-urban area,rdfs:label,(urban area-urban area)@en)-rdf(GCMD:e4abd82b-b17a-4f16-be79-0093f2a09f7d-URBAN AREAS,skos:prefLabel,(URBAN AREAS-URBAN AREAS)@en),stem)	
SWEET:humanKnowledgeDomain/Epidemiology	epidemiology	GCMD:b8a877b7-d867-4305-9053-3777e5dd330a	EPIDEMIOLOGY	epidemiolog		info(label-label,rdf(SWEET:humanKnowledgeDomain/Epidemiology-epidemiology,rdfs:label,(epidemiology-epidemiology)@en)-rdf(GCMD:b8a877b7-d867-4305-9053-3777e5dd330a-EPIDEMIOLOGY,skos:prefLabel,(EPIDEMIOLOGY-EPIDEMIOLOGY)@en),stem)	
SWEET:humanKnowledgeDomain/Epidemiology	epidemiology	GCMD:b8a877b7-d867-4305-9053-3777e5dd330a	EPIDEMIOLOGY	epidemiology		info(label-label,rdf(SWEET:humanKnowledgeDomain/Epidemiology-epidemiology,rdfs:label,(epidemiology-epidemiology)@en)-rdf(GCMD:b8a877b7-d867-4305-9053-3777e5dd330a-EPIDEMIOLOGY,skos:prefLabel,(EPIDEMIOLOGY-EPIDEMIOLOGY)@en),downcase)	
SWEET:humanKnowledgeDomain/Geochemistry	geochemistry	GCMD:906e647b-2683-4ae7-9986-1aea15582b52	GEOCHEMISTRY	geochemistri		info(label-label,rdf(SWEET:humanKnowledgeDomain/Geochemistry-geochemistry,rdfs:label,(geochemistry-geochemistry)@en)-rdf(GCMD:906e647b-2683-4ae7-9986-1aea15582b52-GEOCHEMISTRY,skos:prefLabel,(GEOCHEMISTRY-GEOCHEMISTRY)@en),stem)	
